Gene Name,Chromosome Name,Gene Start (bp),Gene End (bp),Description
LOC_Os04g05470,Chr4,2752711,2758880,"protein kinase, putative, expressed"
LOC_Os04g48270,Chr4,28751051,28754411,"OsFBX148 - F-box domain containing protein, expressed"
LOC_Os02g12050,Chr2,6259006,6260059,hypothetical protein
LOC_Os09g23700,Chr9,14088506,14089131,hypothetical protein
LOC_Os04g41875,Chr4,24815364,24816067,"oxidoreductase, short chain dehydrogenase/reductase domain containing protein, expressed"
LOC_Os05g46780,Chr5,27093554,27099030,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os07g42395,Chr7,25369221,25371856,"DNA-directed RNA polymerase II subunit RPB9, putative, expressed"
LOC_Os08g05510,Chr8,2934786,2940197,"MYB family transcription factor, putative, expressed"
LOC_Os04g56990,Chr4,33972619,33976252,"Myb-like DNA-binding domain containing protein, putative, expressed"
LOC_Os03g24470,Chr3,13950467,13950737,hypothetical protein
LOC_Os03g62790,Chr3,35524222,35526363,"pirin, putative, expressed"
LOC_Os01g69904,Chr1,40390390,40393123,expressed protein
LOC_Os12g09050,Chr12,4729469,4730083,hypothetical protein
LOC_Os03g46540,Chr3,26329669,26333124,expressed protein
LOC_Os04g11660,Chr4,6384635,6388953,"OsFBX119 - F-box domain containing protein, expressed"
LOC_Os11g33190,Chr11,19635268,19638164,"OsFBX422 - F-box domain containing protein, expressed"
LOC_Os02g58280,Chr2,35668000,35671626,expressed protein
LOC_Os07g14514,Chr7,8264771,8278968,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os12g25710,Chr12,14897145,14904687,"bifunctional aminoacyl-tRNA synthetase, putative, expressed"
LOC_Os12g02940,Chr12,1092580,1092984,expressed protein
LOC_Os12g01449,Chr12,273546,282070,"chloroplast unusual positioning protein, putative, expressed"
LOC_Os05g34680,Chr5,20581042,20583158,expressed protein
LOC_Os09g11560,Chr9,6452598,6455394,expressed protein
LOC_Os03g04020,Chr3,1831332,1833506,"expansin precursor, putative, expressed"
LOC_Os11g17290,Chr11,9627204,9633766,expressed protein
LOC_Os06g40620,Chr6,24218361,24223375,"SNF7 domain containing protein, putative, expressed"
LOC_Os08g34100,Chr8,21381199,21382004,conserved hypothetical protein
LOC_Os07g48510,Chr7,29011481,29013252,"thioredoxin, putative, expressed"
LOC_Os03g51140,Chr3,29260530,29272294,"HEAT repeat family protein, putative, expressed"
LOC_Os07g08180,Chr7,4156203,4160559,"PPR repeat containing protein, expressed"
LOC_Os08g07774,Chr8,4352807,4361458,"disease resistance protein RPM1, putative, expressed"
LOC_Os06g40220,Chr6,23956151,23958718,"OsFBX199 - F-box domain containing protein, expressed"
LOC_Os04g04070,Chr4,1878061,1879879,expressed protein
LOC_Os01g16970,Chr1,9702734,9709696,"glucosidase II beta subunit-like domain containing protein, expressed"
LOC_Os01g58114,Chr1,33609208,33616334,expressed protein
LOC_Os10g31864,Chr10,16716230,16742534,expressed protein
LOC_Os11g32410,Chr11,19134085,19137450,expressed protein
LOC_Os01g54460,Chr1,31327322,31328257,expressed protein
LOC_Os05g38180,Chr5,22393917,22397105,"Yip1 domain containing protein, expressed"
LOC_Os02g37834,Chr2,22835797,22838845,expressed protein
LOC_Os03g56942,Chr3,32427006,32427425,hypothetical protein
LOC_Os08g36140,Chr8,22772966,22775158,expressed protein
LOC_Os09g15644,Chr9,9546746,9547554,expressed protein
LOC_Os04g42134,Chr4,24943121,24945222,"enhancer of rudimentary protein, putative, expressed"
LOC_Os09g37840,Chr9,21802582,21820409,"carbohydrate binding protein, putative, expressed"
LOC_Os03g19427,Chr3,10929483,10930895,"nicotianamine synthase, putative, expressed"
LOC_Os09g20010,Chr9,11985971,11989563,"SNF1-related protein kinase regulatory subunit beta-2, putative, expressed"
LOC_Os01g66030,Chr1,38320785,38324074,"OsMADS2 - MADS-box family gene with MIKCc type-box, expressed"
LOC_Os01g12910,Chr1,7173618,7175813,"thioesterase family protein, putative, expressed"
LOC_Os01g29740,Chr1,16659734,16664416,expressed protein
LOC_Os07g48430,Chr7,28963027,28967286,"nucleoside-triphosphatase, putative, expressed"
LOC_Os08g34720,Chr8,21818039,21823218,"D-3-phosphoglycerate dehydrogenase, chloroplast precursor, putative, expressed"
LOC_Os09g36619,Chr9,21131794,21134241,expressed protein
LOC_Os01g21850,Chr1,12258138,12263046,"protein transport protein-related, putative, expressed"
LOC_Os01g01070,Chr1,29818,34493,expressed protein
LOC_Os10g38229,Chr10,20472523,20474775,"photosystem I P700 chlorophyll a apoprotein A1, putative, expressed"
LOC_Os03g14040,Chr3,7615918,7618928,expressed protein
LOC_Os05g08090,Chr5,4401862,4408271,expressed protein
LOC_Os10g35680,Chr10,19082494,19083239,"acetyltransferase, GNAT family, putative, expressed"
LOC_Os02g42310,Chr2,25442875,25450129,"OsSCP8 - Putative Serine Carboxypeptidase homologue, expressed"
LOC_Os10g03510,Chr10,1516417,1516806,hypothetical protein
LOC_Os07g42750,Chr7,25601642,25606513,"DDT domain containing protein, putative, expressed"
LOC_Os05g22894,Chr5,13006264,13010183,expressed protein
LOC_Os04g56960,Chr4,33953131,33954857,expressed protein
LOC_Os02g32600,Chr2,19321995,19323755,expressed protein
LOC_Os03g48840,Chr3,27823028,27825718,"ribosomal L18p/L5e family protein, putative, expressed"
LOC_Os04g03760,Chr4,1676609,1676845,expressed protein
LOC_Os02g32280,Chr2,19058873,19063356,expressed protein
LOC_Os01g48190,Chr1,27601487,27604926,"drought induced 19 protein, putative, expressed"
LOC_Os09g19210,Chr9,11480883,11481203,expressed protein
LOC_Os12g42220,Chr12,26194509,26195982,expressed protein
LOC_Os12g36500,Chr12,22338130,22339053,expressed protein
LOC_Os01g56210,Chr1,32371982,32372869,expressed protein
LOC_Os01g58048,Chr1,33585501,33586432,expressed protein
LOC_Os07g46730,Chr7,27929310,27933842,"PPR repeat domain containing protein, putative, expressed"
LOC_Os08g30850,Chr8,19043750,19047059,"YDG/SRA domain containing protein, expressed"
LOC_Os09g26420,Chr9,15959324,15962975,"AP2 domain containing protein, expressed"
LOC_Os06g06980,Chr6,3314111,3315452,"caffeoyl-CoA O-methyltransferase, putative, expressed"
LOC_Os12g44280,Chr12,27446647,27447597,"subtilase, putative, expressed"
LOC_Os02g47744,Chr2,29190320,29195573,"MYB family transcription factor, putative, expressed"
LOC_Os01g66420,Chr1,38566147,38570861,"PHD finger protein, putative, expressed"
LOC_Os03g59050,Chr3,33612462,33617781,"DEAD-box ATP-dependent RNA helicase, putative, expressed"
LOC_Os01g07740,Chr1,3713687,3718637,"DEAD-box ATP-dependent RNA helicase 14, putative, expressed"
LOC_Os07g27870,Chr7,16264709,16266597,"thioesterase family protein, putative, expressed"
LOC_Os04g50990,Chr4,30180315,30182052,"L11 domain containing ribosomal protein, putative, expressed"
LOC_Os10g41040,Chr10,22039379,22043925,"ternary complex factor MIP1, putative, expressed"
LOC_Os05g19990,Chr5,11684930,11688392,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os03g19320,Chr3,10861086,10862553,expressed protein
LOC_Os11g30760,Chr11,17911043,17912054,expressed protein
LOC_Os04g56530,Chr4,33707427,33719236,"STE_MEKK_ste11_MAP3K.1 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
LOC_Os10g01830,Chr10,535958,538026,expressed protein
LOC_Os02g53670,Chr2,32827841,32832774,"MYB family transcription factor, putative, expressed"
LOC_Os11g09740,Chr11,5198461,5200017,expressed protein
LOC_Os05g40740,Chr5,23883406,23886135,"monocopper oxidase, putative, expressed"
LOC_Os05g41930,Chr5,24552398,24555167,"N-rich protein, putative, expressed"
LOC_Os11g08520,Chr11,4496036,4496356,expressed protein
LOC_Os02g43470,Chr2,26240126,26242983,"glutamate dehydrogenase protein, putative, expressed"
LOC_Os01g10290,Chr1,5413599,5416935,"autophagy-related protein 3, putative, expressed"
LOC_Os02g38804,Chr2,23454982,23460491,"protein phosphatase 2C containing protein, expressed"
LOC_Os08g07200,Chr8,4017920,4020079,"UDP-glucoronosyl/UDP-glucosyl transferase, putative, expressed"
LOC_Os10g03600,Chr10,1556748,1560612,"OsFBX343 - F-box domain containing protein, expressed"
LOC_Os05g25000,Chr5,14467864,14469140,expressed protein
LOC_Os11g42280,Chr11,25464456,25465666,"OsFBX433 - F-box domain containing protein, expressed"
LOC_Os11g44520,Chr11,26923716,26925152,expressed protein
LOC_Os11g05930,Chr11,2788996,2793735,"response regulator receiver domain containing protein, expressed"
LOC_Os02g01365,Chr2,199224,207221,expressed protein
LOC_Os01g35149,Chr1,19442315,19442527,hypothetical protein
LOC_Os09g25510,Chr9,15300005,15303472,"transposon protein, putative, unclassified, expressed"
LOC_Os01g72300,Chr1,41917699,41919129,"Cupin domain containing protein, expressed"
LOC_Os01g09000,Chr1,4514298,4520613,"glutaminyl-tRNA synthetase, putative, expressed"
LOC_Os04g37550,Chr4,22347937,22349799,"aspartic proteinase nepenthesin-2 precursor, putative, expressed"
LOC_Os04g12070,Chr4,6632336,6632683,expressed protein
LOC_Os06g50030,Chr6,30301723,30308398,"CAMK_CAMK_like.30 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
LOC_Os09g30490,Chr9,18618052,18618801,"EF hand family protein, expressed"
LOC_Os02g57120,Chr2,34981044,34989879,"HEAT repeat family protein, putative, expressed"
LOC_Os02g10860,Chr2,5760034,5763645,"bZIP transcription factor domain containing protein, expressed"
LOC_Os08g25430,Chr8,15476556,15483069,"cysteine-rich receptor-like protein kinase 35 precursor, putative, expressed"
LOC_Os11g29370,Chr11,17036891,17044169,"haloacid dehalogenase-like hydrolase family protein, putative, expressed"
LOC_Os10g36900,Chr10,19775503,19776440,expressed protein
LOC_Os04g57780,Chr4,34410425,34413187,"tetratricopeptide repeat domain containing protein, expressed"
LOC_Os06g40880,Chr6,24379827,24382168,"polygalacturonase, putative, expressed"
LOC_Os12g25200,Chr12,14487396,14491027,"chloride transporter, chloride channel family, putative, expressed"
LOC_Os12g09540,Chr12,5013789,5018312,"phosphoribosylamine--glycine ligase, putative, expressed"
LOC_Os10g40410,Chr10,21652033,21655139,expressed protein
LOC_Os01g62550,Chr1,36216795,36218318,expressed protein
LOC_Os10g40950,Chr10,21994145,21995166,"polyol transporter 5, putative, expressed"
LOC_Os03g40300,Chr3,22402435,22403164,expressed protein
LOC_Os10g03800,Chr10,1717167,1717727,expressed protein
LOC_Os07g37530,Chr7,22474561,22477187,"organic cation transporter-related, putative, expressed"
LOC_Os01g43400,Chr1,24833040,24834140,expressed protein
LOC_Os04g12864,Chr4,7111315,7115008,"retrotransposon protein, putative, unclassified"
LOC_Os10g42820,Chr10,23088097,23093419,"early-responsive to dehydration protein-related, putative, expressed"
LOC_Os04g13940,Chr4,7790226,7790651,expressed protein
LOC_Os01g28790,Chr1,16130515,16131447,"PRAS-rich protein, putative, expressed"
LOC_Os11g26760,Chr11,15327768,15328657,"dehydrin, putative, expressed"
LOC_Os04g43860,Chr4,25976919,25979044,hypothetical protein
LOC_Os08g43900,Chr8,27675590,27676377,"carrier, putative, expressed"
LOC_Os11g45670,Chr11,27621816,27625516,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os08g44060,Chr8,27742543,27742755,hypothetical protein
LOC_Os06g19480,Chr6,11094771,11097268,expressed protein
LOC_Os03g18990,Chr3,10643568,10645277,expressed protein
LOC_Os11g41960,Chr11,25232292,25232729,hypothetical protein
LOC_Os10g21110,Chr10,10727317,10730929,"glycosyl hydrolase family 10 protein, putative, expressed"
LOC_Os01g37280,Chr1,20816955,20820446,expressed protein
LOC_Os05g14610,Chr5,8324483,8327998,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os04g02870,Chr4,1120524,1125013,"RNA recognition motif containing protein, putative, expressed"
LOC_Os08g04480,Chr8,2203447,2204305,"appr-1-p processing enzyme family protein, putative, expressed"
LOC_Os05g38170,Chr5,22387948,22392458,"phosphoribosyl transferase, putative, expressed"
LOC_Os09g39160,Chr9,22488246,22490386,"thiol protease SEN102 precursor, putative, expressed"
LOC_Os11g39530,Chr11,23537272,23545497,"jacalin-like lectin domain containing protein, expressed"
LOC_Os10g03669,Chr10,1642335,1646902,expressed protein
LOC_Os10g26540,Chr10,13833333,13836254,expressed protein
LOC_Os12g41620,Chr12,25752101,25758238,"WD domain, G-beta repeat domain containing protein, expressed"
LOC_Os04g45120,Chr4,26682636,26683960,"serpin domain containing protein, putative, expressed"
LOC_Os07g10610,Chr7,5763808,5768534,expressed protein
LOC_Os08g42590,Chr8,26918194,26921575,"mtN19, putative, expressed"
LOC_Os10g18364,Chr10,9330645,9336542,"ZOS10-03 - C2H2 zinc finger protein, expressed"
LOC_Os06g12500,Chr6,6788986,6790050,"membrane associated DUF588 domain containing protein, putative, expressed"
LOC_Os06g14370,Chr6,8011835,8014837,"caleosin related protein, putative, expressed"
LOC_Os03g02620,Chr3,966245,966592,expressed protein
LOC_Os06g09450,Chr6,4796286,4804246,"sucrose synthase, putative, expressed"
LOC_Os02g05365,Chr2,2577378,2578660,expressed protein
LOC_Os01g15950,Chr1,8979005,8979280,hypothetical protein
LOC_Os06g13760,Chr6,7629547,7631705,"glycosyl transferase 8 domain containing protein, putative, expressed"
LOC_Os06g15170,Chr6,8597870,8599912,"3-ketoacyl-CoA synthase, putative, expressed"
LOC_Os01g08930,Chr1,4485747,4490158,"DEAD-box ATP-dependent RNA helicase, putative, expressed"
LOC_Os07g37680,Chr7,22590906,22594641,expressed protein
LOC_Os08g45040,Chr8,28272060,28274506,"zinc finger protein 593, putative, expressed"
LOC_Os05g45610,Chr5,26435346,26435603,expressed protein
LOC_Os06g45340,Chr6,27402362,27403768,"peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed"
LOC_Os03g23010,Chr3,13283192,13284534,expressed protein
LOC_Os01g10400,Chr1,5478476,5479836,expressed protein
LOC_Os04g45880,Chr4,27163640,27163855,expressed protein
LOC_Os07g47330,Chr7,28299591,28301089,"AP2 domain containing protein, expressed"
LOC_Os06g16919,Chr6,9805234,9809123,expressed protein
LOC_Os05g31770,Chr5,18502646,18505884,"tetratricopeptide repeat containing protein, putative, expressed"
LOC_Os03g32850,Chr3,18790906,18795006,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os02g37830,Chr2,22822064,22826220,"protein kinase domain containing protein, expressed"
LOC_Os03g27310,Chr3,15645605,15648242,"histone H3, putative, expressed"
LOC_Os09g25970,Chr9,15597969,15598720,expressed protein
LOC_Os02g36974,Chr2,22333281,22337713,"14-3-3 protein, putative, expressed"
LOC_Os04g06790,Chr4,3575300,3581634,"2-aminoethanethiol dioxygenase, putative, expressed"
LOC_Os06g02590,Chr6,913779,921282,"DUF1336 domain containing protein, expressed"
LOC_Os08g30520,Chr8,18776758,18778781,"plant protein of unknown function domain containing protein, expressed"
LOC_Os09g20040,Chr9,12004419,12010546,"resistance-like protein I2GA-SH194-2, putative, expressed"
LOC_Os03g12140,Chr3,6369445,6373705,"glucan endo-1,3-beta-glucosidase precursor, putative, expressed"
LOC_Os04g55590,Chr4,33095586,33096465,"homeobox domain containing protein, expressed"
LOC_Os08g07050,Chr8,3945931,3946485,"pentatricopeptide, putative, expressed"
LOC_Os09g29910,Chr9,18185101,18185583,expressed protein
LOC_Os11g02110,Chr11,573467,574724,expressed protein
LOC_Os05g08840,Chr5,4877623,4883601,"DnaK family protein, putative, expressed"
LOC_Os09g34170,Chr9,20172322,20172633,expressed protein
LOC_Os02g51119,Chr2,31273211,31284049,expressed protein
LOC_Os03g25320,Chr3,14454729,14456489,"peroxidase precursor, putative, expressed"
LOC_Os01g04930,Chr1,2281534,2285053,"MYB family transcription factor, putative, expressed"
LOC_Os11g11390,Chr11,6321264,6323952,"ribosomal protein, putative, expressed"
LOC_Os03g62720,Chr3,35494058,35497784,"exosome complex exonuclease, putative, expressed"
LOC_Os10g25550,Chr10,13219950,13226158,"tyrosine protein kinase domain containing protein, putative, expressed"
LOC_Os08g26860,Chr8,16337479,16338938,expressed protein
LOC_Os07g26940,Chr7,15602020,15604587,"ORM1, putative, expressed"
LOC_Os11g36070,Chr11,21201715,21207327,expressed protein
LOC_Os11g37800,Chr11,22385204,22389776,"mla1, putative, expressed"
LOC_Os06g45660,Chr6,27656847,27659012,"histidine triad family protein, putative, expressed"
LOC_Os04g41030,Chr4,24348022,24350872,"inactive receptor kinase At1g27190 precursor, putative, expressed"
LOC_Os06g41390,Chr6,24814004,24817722,"N-terminal asparagine amidohydrolase, putative, expressed"
LOC_Os05g12210,Chr5,6991336,6993702,"chalcone synthase, putative, expressed"
LOC_Os01g58370,Chr1,33728308,33728550,expressed protein
LOC_Os02g13530,Chr2,7258483,7260380,"40S ribosomal protein S24, putative, expressed"
LOC_Os07g38090,Chr7,22840986,22843954,"zinc finger family protein, putative, expressed"
LOC_Os08g23730,Chr8,14356969,14361049,"class I glutamine amidotransferase, putative, expressed"
LOC_Os05g05260,Chr5,2584798,2590120,"helicase, putative, expressed"
LOC_Os12g37840,Chr12,23248824,23253345,"boron transporter protein, putative, expressed"
LOC_Os02g05770,Chr2,2838179,2842549,expressed protein
LOC_Os03g16320,Chr3,9006865,9009306,expressed protein
LOC_Os04g46040,Chr4,27271845,27272214,hypothetical protein
LOC_Os10g33290,Chr10,17484383,17490805,"tetratricopeptide repeat domain containing protein, expressed"
LOC_Os08g28840,Chr8,17634789,17638483,"hydrolase, NUDIX family, domain containing protein, expressed"
LOC_Os10g14180,Chr10,7685221,7696843,expressed protein
LOC_Os10g03360,Chr10,1431142,1432407,"transferase family protein, putative, expressed"
LOC_Os02g57190,Chr2,35028569,35040470,"Myosin head domain containing protein, expressed"
LOC_Os02g19510,Chr2,11399635,11404047,"lysine ketoglutarate reductase trans-splicing related 1, putative, expressed"
LOC_Os01g56740,Chr1,32739963,32741600,"OsFBDUF7 - F-box and DUF domain containing protein, expressed"
LOC_Os12g34970,Chr12,21283213,21285881,"csAtPR5, putative, expressed"
LOC_Os05g38600,Chr5,22638494,22639018,"ZOS5-09 - C2H2 zinc finger protein, expressed"
LOC_Os03g01410,Chr3,293668,294916,"Leucine Rich Repeat family protein, expressed"
LOC_Os09g20590,Chr9,12407427,12413339,"CD2-binding protein-related, putative, expressed"
LOC_Os04g02910,Chr4,1148798,1152219,"membrane related protein CP5, putative, expressed"
LOC_Os02g10180,Chr2,5331895,5336987,"dnaJ homolog subfamily C member, putative, expressed"
